6.575354855177449e-13	5.272324328885881e-14
6.686457187819469e-13	5.429001429989162e-14
5.949985583271307e-13	4.753022481234558e-14
5.619956999524189e-13	4.583105297808745e-14
5.7204591015429e-13	4.361492705601636e-14
5.041198525420098e-13	4.1816302513001985e-14
4.95714651456961e-13	4.057007155663587e-14
4.644788709597727e-13	3.721229210153335e-14
4.303602139070909e-13	3.5473667931265207e-14
4.168786334849249e-13	3.4478928977379337e-14
3.7198893944202687e-13	3.2359651373693855e-14
3.167497608998037e-13	3.0955559462197005e-14
